Country,Sharks,risk
AUSTRALIA,"['white shark', 'tiger shark', 'bull', 'oceanic whitetip', 'bronze whaler', 'hammerhead', 'grey nurse', 'spinner', 'wobbegong']",2.1
SOUTH AFRICA,"['white shark', 'tiger shark', 'bull', 'oceanic whitetip', 'bronze whaler', 'raggedtooth', 'zambezi']",1.87
USA,"['white shark', 'tiger shark', 'bull', 'oceanic whitetip', 'blacktip', 'lemon', 'sand tiger', 'dusky', 'spinner', 'silky']",2.15
MEXICO,"['white shark', 'tiger shark', 'bull', 'oceanic whitetip', 'blacktip', 'lemon', 'silky']",1.84
BRAZIL,"['white shark', 'tiger shark', 'bull', 'oceanic whitetip', 'blacktip', 'lemon', 'hammerhead']",1.85
BAHAMAS,"['white shark', 'tiger shark', 'bull', 'oceanic whitetip', 'blacktip', 'lemon', 'hammerhead', 'nurse', 'tiger shark']",2
EGYPT,"['white shark', 'tiger shark', 'oceanic whitetip', 'grey reef']",1.3
FIJI,"['white shark', 'tiger shark', 'bull', 'oceanic whitetip', 'hammerhead']",1.64
FRENCH POLYNESIA,"['white shark', 'tiger shark', 'oceanic whitetip', 'grey reef']",1.3
INDONESIA,"['white shark', 'tiger shark', 'oceanic whitetip', 'bull', 'grey reef', 'blacktip', 'lemon']",1.84
MALDIVES,"['white shark', 'tiger shark', 'oceanic whitetip', 'grey reef', 'hammerhead']",1.41
NEW CALEDONIA,"['white shark', 'tiger shark', 'oceanic whitetip', 'bull', 'grey reef']",1.63
NEW ZEALAND,"['white shark', 'tiger shark', 'oceanic whitetip', 'bronze whaler', 'mako']",1.46
PAPUA NEW GUINEA,"['white shark', 'tiger shark', 'oceanic whitetip', 'grey reef']",1.3
PHILIPPINES,"['white shark', 'tiger shark', 'oceanic whitetip', 'bull', 'grey reef', 'blacktip', 'hammerhead']",1.84
SEYCHELLES,"['tiger shark', 'oceanic whitetip', 'bull', 'grey reef', 'hammerhead','white shark']",1.74
SOLOMON ISLANDS,"['white shark', 'tiger shark', 'oceanic whitetip', 'bull', 'grey reef']",1.63
THAILAND,"['white shark', 'tiger shark', 'oceanic whitetip', 'bull', 'grey reef', 'blacktip']",1.73
WESTERN SAHARA,"['white shark', 'tiger shark', 'oceanic whitetip']",1.2
REUNION,"['bull', 'tiger shark', 'blacktip', 'oceanic whitetip', 'blacktip', 'bull']",1.06
MAURITIUS,"['bull', 'tiger shark', 'blacktip', 'oceanic whitetip']",0.63
TROPIC OF CAPRICORN,"['bull', 'tiger shark', 'white shark', 'hammerhead', 'lemon', 'galapagos', 'blacktip', 'grey reef', 'raggedtooth']",2.01
TROPIC OF CANCER,"['tiger shark', 'bull', 'oceanic whitetip', 'silky', 'lemon', 'hammerhead', 'blacktip','blue','mako','white shark']",2.22
TEMPERATE,"['white shark', 'mako', 'thresher', 'blue', 'porbeagle', 'goblin', 'dusky']",1.69
POLAR,"['blue', 'mako', 'porbeagle', 'white shark', 'sevengill', 'greenland']",1.42
MEDITERRANEAN SEA,"['white shark', 'mako', 'bronze whaler', 'porbeagle', 'sand tiger', 'blacktip', 'hammerhead', 'blue', 'dusky', 'silky']",3.43
RED SEA,"['oceanic whitetip', 'blacktip', 'bull', 'tiger shark', 'hammerhead']",2.24
ENGLISH CHANNEL,"['blue', 'mako', 'white shark', 'spiny dogfish']",2.82
IONIAN SEA,"['sand tiger', 'dusky', 'blue', 'mako', 'white shark']",2.98
PERSIAN GULF,"['bull', 'tiger shark', 'oceanic whitetip', 'blacktip', 'white shark', 'reef']",3.18
CARIBBEAN SEA,"['bull', 'tiger shark', 'hammerhead', 'blacktip', 'reef']",2.14
ARABIAN GULF,"['tiger shark', 'hammerhead', 'lemon', 'bull', 'blacktip']",2.2
GULF OF MEXICO,"['white shark', 'tiger shark', 'thresher', 'bull', 'hammerhead']",3.09
BAY OF BENGAL,"['bull','dusky','tiger shark','ganges shark'] ",2.01
SOUTH CHINA SEA,"['hammerhead','oceanic whitetip', 'bull', 'blue', 'tiger shark','thresher','blacktip' ]",3.18
